place_type,text,labels
ресторан,"Внутри красиво, но кондиционер дует прямо в лицо",атмосфера
ресторан,"Мясо жёсткое, нож еле справился",качество
ресторан,За десерт цены вообще космос,цена
ресторан,Официант был на связи и не забывал про стол,сервис
ресторан,Место выглядит дорого и аккуратно,атмосфера
ресторан,"Борщ насыщенный, не столовский уровень",качество
ресторан,"Подали блюда всем одновременно, это плюс",сервис
ресторан,Шумно из-за соседних столов,атмосфера
ресторан,"Цены высоковаты, но не шок",цена
ресторан,"Кухня работает уверенно, без провалов",качество
ресторан,"На входе встретили тепло, начало вечера приятное",сервис
ресторан,"Ресторан симпатичный, но еда не удивила",качество
доставка,"Привезли быстро, еда ещё горячая",доставка
доставка,Курьер опоздал почти на час,доставка
доставка,Пицца приехала тёплая и не помятая,качество
доставка,Доставка дорогая для такого заказа,цена
доставка,"Курьер вежливый, позвонил заранее",сервис
доставка,"Суп разлился по пакету, это фейл",качество
доставка,"Комбо вкусное, но везли очень долго",доставка
доставка,За сервисный сбор и доставку накинули слишком много,цена
доставка,"Привезли быстрее обещанного, приятно",доставка
доставка,Еда приехала уже холодной,качество
доставка,Курьер нашёл адрес без звонков и лишней суеты,сервис
доставка,За такие деньги хотелось бы точнее по времени,цена
доставка,"Упаковка крепкая, ничего не развалилось",качество
доставка,"Бургер вкусный, картошка размякла",качество
доставка,"Курьер общался нормально, без хамства",сервис
доставка,Доставка тянулась вечность,доставка
доставка,"Порции норм, вкус тоже, заказом доволен",качество
доставка,Доплата за доставку вышла почти как половина блюда,цена
доставка,Курьер приехал вовремя и всё отдал быстро,доставка
доставка,Лапша слиплась пока везли,качество
доставка,"Оператор подтвердил заказ быстро, без тупняка",сервис
доставка,Привезли не тот соус,сервис
доставка,"Заказ доехал целым, ничего не пролилось",доставка
доставка,"Очень вкусно, прям спасли вечер",качество
доставка,"Цена доставки неприятная, но хотя бы быстро",цена
доставка,Курьер заблудился и названивал каждые две минуты,сервис
доставка,Еда приехала в нормальной температуре,качество
доставка,"Сервис в приложении понятный, оформили за минуту",сервис
доставка,Роллы маленькие за такой прайс,цена
доставка,Заказ собрали аккуратно,доставка
доставка,"Курьер был на позитиве, мелочь, а приятно",сервис
доставка,Пицца уже остыла к приезду,качество
доставка,"Скидка спасла, без неё было бы дороговато",цена
доставка,Доставили даже раньше слота,доставка
доставка,"Шаурма сочная, не размокла в дороге",качество
доставка,Курьер стоял не у того подъезда,доставка
доставка,Поддержка ответила быстро и помогла,сервис
доставка,За такую скорость можно и доплатить,доставка
доставка,Приборы забыли положить,сервис
доставка,"Вок вкусный, но коробка протекла",качество
доставка,Доставка заняла почти два часа,доставка
доставка,"Курьер был грубоват, осадок остался",сервис
доставка,"Упаковка удобная, еда выглядит аккуратно",качество
доставка,Слишком дорого выходит с комиссией,цена
доставка,"Привезли всё по списку, без косяков",сервис
доставка,"Еда норм, но не за этот прайс",цена
доставка,"Приложение показало одно время, приехали позже",доставка
доставка,Курьер позвонил заранее и подождал,сервис
доставка,"Заказ реально вкусный, тут вопросов нет",качество
доставка,"Доставка быстрая, но чек конский",цена
